"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery_Cell","Battery:BatteryHolder_Bulgin_BX0034_1xAAA",""
"2","BT2","1","Battery_Cell","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical",""
"3","D1","1","WS2812","LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",""
"4","J1","1","28BYJ-48 Stepper Motor","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical",""
"5","R1, R2, R3, R4","4","R","Resistor_SMD:R_0603_1608Metric",""
"6","SW1","1","CK_KMS2xxGP","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG",""
"7","U1, U2","2","ESP32-C3-DevKitM-1","RF_Module:ESP32-C3-DevKitM-1",""
"8","U4","1","ULN2003","Package_DIP:DIP-16_W7.62mm",""
"9","U5","1","TPS79301-EP","Package_SON:SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm",""
"10","U6","1","LSM6DS3","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",""
